Ticker,Name,Exchange,Category Name,Country,Name [Ticker]
TARAJEWELS.NS,Tara Jewels Limited,NSE,Jewelry Stores,India,Tara Jewels Limited [TARAJEWELS.NS]
JSWENERGY.NS,JSW Energy Limited,NSE,Diversified Utilities,India,JSW Energy Limited [JSWENERGY.NS]
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSE,,India,JAYASWAL NECO IND INR10 [JAYNECOIND-EQ.NS]
JKCEMENT.NS,J.K. Cement Limited,NSE,General Building Materials,India,J.K. Cement Limited [JKCEMENT.NS]
JUMBO-BZ.NS,JUMBO-BZ.NS,NSE,,India,JUMBO-BZ.NS [JUMBO-BZ.NS]
JKPAPER-EQ.NS,JK PAPER LIMITED,NSE,,India,JK PAPER LIMITED [JKPAPER-EQ.NS]
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSE,,India,Goldman Sachs Junior BeES ETF [JUNIORBEES.NS]
JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSE,,India,JINDAL COTEX LIMITED [JINDCOT-EQ.NS]
JINDALPHOT.NS,Jindal Photo Limited,NSE,"Recreational Goods, Other",India,Jindal Photo Limited [JINDALPHOT.NS]
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSE,,India,JAI BALAJI INDUSTRIES LIMITED [JAIBALAJI-EQ.NS]
JAYAGROGN.NS,Jayant Agro-Organics Limited,NSE,Specialty Chemicals,India,Jayant Agro-Organics Limited [JAYAGROGN.NS]
JAIBALAJI.NS,Jai Balaji Industries Limited,NSE,Steel & Iron,India,Jai Balaji Industries Limited [JAIBALAJI.NS]
JINDWORLD.NS,Jindal Worldwide Limited,NSE,Textile Industrial,India,Jindal Worldwide Limited [JINDWORLD.NS]
JIKIND-BE.NS,JIK INDUSTRIES INR10,NSE,,India,JIK INDUSTRIES INR10 [JIKIND-BE.NS]
JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED,NSE,,India,JMT AUTO LIMITED [JMTAUTOLTD-EQ.NS]
JSWHL.NS,JSW Holdings Limited,NSE,Asset Management,India,JSW Holdings Limited [JSWHL.NS]
JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED,NSE,,India,JAIHIND PROJECTS LIMITED [JAIHINDPRO-EQ.NS]
KPRMILL.NS,K.P.R. Mill Limited,NSE,Textile - Apparel Clothing,India,K.P.R. Mill Limited [KPRMILL.NS]
KPIT.NS,KPIT Technologies Limited,NSE,Information Technology Services,India,KPIT Technologies Limited [KPIT.NS]
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSE,Money Center Banks,India,Kotak Mahindra Bank Limited [KOTAKBANK.NS]
KTIL.NS,Kesar Terminals & Infrastructure Limited,NSE,Business Services,India,Kesar Terminals & Infrastructure Limited [KTIL.NS]
KSK.NS,KSK Energy Ventures Limited,NSE,Electric Utilities,India,KSK Energy Ventures Limited [KSK.NS]
KSERASERA.NS,KSS Limited,NSE,Entertainment - Diversified,India,KSS Limited [KSERASERA.NS]
KSCL.NS,Kaveri Seed Company Limited,NSE,Farm Products,India,Kaveri Seed Company Limited [KSCL.NS]
KOTHARIPRO.NS,Kothari Products Limited,NSE,Industrial Metals & Minerals,India,Kothari Products Limited [KOTHARIPRO.NS]
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSE,Confectioners,India,Kothari Sugars and Chemicals Limited [KOTARISUG.NS]
KOPRAN.NS,Kopran Limited,NSE,Drug Manufacturers - Major,India,Kopran Limited [KOPRAN.NS]
KNRCON.NS,KNR Constructions Limited,NSE,General Contractors,India,KNR Constructions Limited [KNRCON.NS]
KITEX.NS,Kitex Garments Limited,NSE,Textile - Apparel Clothing,India,Kitex Garments Limited [KITEX.NS]
